Columnas
0,Marca temporal
1,Sexo:
2,¿En qué rango de edad te encuentras?
3,¿Actualmente cuentas con un trabajo?
4,¿Tienes familiares dentro de tu mismo hogar que fuman?
5,"De sus amigos, ¿Cuántos tienen el hábito de fumar?"
6,¿Tiene usted el hábito de fumar?
7,¿Qué órganos crees que te afecta cuando consumes productos de tabaquismo?(Puede seleccionar varios)
8,¿Cuánto tiempo llevas fumando?
9,¿Cree usted que su hábito le ha afectado a una persona directamente de su círculo social?
10,"¿Cuándo fuma, normalmente con quien lo hace?(Puede seleccionar varios)"
11,¿Qué cantidad de cigarrillos consumes diariamente?
12,"¿Cuánto dinero gasta en promedio, de cigarrillos al mes?"
13,¿Qué días de la semana considera que consume más cigarrillo?(Puede seleccionar varios)
14,¿En qué jornadas tiene más consumo de tabaco?(Puede seleccionar varios)
15,¿Crees que tu consumo de tabaco aumenta en periodos vacacionales?
16,¿Has querido dejar el hábito de fumar?
17,¿Cuánto tiempo lograste estar sin fumar?
18,¿Qué lo motiva a dejar de fumar?
19,¿Realizas alguna actividad que te sirva como distracción?
20,¿Ha utilizado algún medio digital para reducir el consumo de tabaco?
21,¿Qué tanto tiempo le dedicas diariamente a tu smartphone?
22,¿Le gustaría tener una herramienta a su disposición que le ayude a reducir el consumo?
23,¿Dónde sueles ver publicidad sobre consumo de tabaco?
24,¿Crees que la publicidad mostrada en medios digitales influyen en el consumo del tabaco?
